Compound,Compound_ID,Accepted,Adducts,Formula,Score,Fragmentation_Score,Mass_Error_ppm,Isotope_Similarity,Theoretical_Isotope_Distribution,Link,Description,Neutral_mass_Da,mz,Charge,Retention_time_min,Reason_of_identification,Number_of_identifications,Maximum_score,Second_highest_score,HYG_001,HYG_002,HYG_003,HYG_004,HYG_005,HYG_006,HYG_008,HYG_009,HYG_010,HYG_011,HYG_012,HYG_013,HYG_014,HYG_015,HYG_016,HYG_017,HYG_018,HYG_019,HYG_020,HYG_021,HYG_022,HYG_023,HYG_024,HYG_025,HYG_026,HYG_027,HYG_028,HYG_029,HYG_030,HYG_031,HYG_032,HYG_033,HYG_034,HYG_035,HYG_036,HYG_037,HYG_038,HYG_039,HYG_040,HYG_041,HYG_042,HYG_043,HYG_044,HYG_045,HYG_046,HYG_047,HYG_048,HYG_049,HYG_050,HYG_051,HYG_052,HYG_053,HYG_054,HYG_055,HYG_056,HYG_057,HYG_058,HYG_059,HYG_060,HYG_061
5.69_362.2092n,Cortisol,*,"M-H, M+Hac-H, M+Cl, 2M-H",C21H30O5,72.3,95.9,-0.215253814,93.50727907,100 - 23.2 - 3.61 - 0.42,NA,Cortisol,362.2092461,361.2019697,1,5.691016667,Maximum score by at least 10 points,12,72.3,50.2,1491.762676,9721.52925,3824.189108,5688.312649,10590.13195,4618.517348,1898.741277,4922.275946,6982.454818,14412.73234,14838.42066,3115.143935,8502.288583,7151.032157,12744.61712,11170.17153,5433.539896,6233.074707,4924.915448,4607.234771,5013.252798,9650.127566,3816.212448,4054.798555,8365.256206,7114.342377,5048.658405,1552.853033,3876.301642,3350.341599,5401.257964,7595.757768,3035.85139,4858.211384,2064.53079,1513.432498,10049.09644,7496.810104,3292.012332,588.1257138,5668.703774,6851.664491,10017.84898,3946.864039,22623.59473,14299.94933,8084.938366,3301.259086,10899.11492,2688.475641,1448.115379,6432.292134,119.7948318,381.6277771,2079.896374,2385.506924,8190.003069,3862.235427,9941.766855,2795.65801
9.56_286.1792n,HMDB0240222,*,"M+Cl, 2M-H, 2M+Hac-H",C16H22N4O,38.7,0.646,-0.420959095,93.24386172,100 - 19.1 - 1.93 - 0.137,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0240222,Thonzylamine,286.1792409,571.3512053,1,9.556,Only identification found,1,38.7,38.7,2148.078978,1834.665801,1605.96261,1335.094193,2639.671116,2081.445559,2431.149371,2829.825165,1595.66016,673.0030099,2138.517833,396.4633367,357.0408778,649.3510003,1926.092755,2557.964059,1507.388662,1554.616499,2132.881433,309.5953239,1350.286891,1920.984251,2126.745364,1407.62712,2978.512148,2448.97415,2061.3454,344.3608015,1052.511841,626.7192564,651.4426962,1179.561478,421.9027649,1744.599819,290.0150448,502.0283708,0,126.8914795,1826.711756,774.0565902,2217.296836,2813.465027,1132.912068,1363.004315,2901.129187,3183.236462,150.4816585,2302.895117,602.7482338,0,336.0739629,2032.871972,810.848346,1025.806035,874.6987478,837.0979738,440.7367327,1578.489876,651.5244925,196.494128
5.72_360.1946n,Cortisone,*,"M-H, M+Cl, 2M-H",C21H28O5,67.2,83.5,2.696454067,90.19587981,100 - 23.2 - 3.6 - 0.419,NA,Cortisone,360.1946452,719.3820141,1,5.71765,Maximum score by at least 10 points,8,67.2,47.7,398.2433284,4328.523891,1124.212978,766.7360723,6654.273499,2174.6393,155.0252196,2183.24153,3772.429598,5910.597587,5301.843681,1222.644682,3124.82952,2373.603415,5295.56511,6297.161145,3106.297816,3474.544285,3440.140841,2631.210729,3442.254369,4336.885447,3003.743109,2480.139398,2687.578942,4297.432964,3106.448141,319.8005071,3428.898736,1602.454722,4500.489166,4039.912522,2151.206483,3061.602813,635.1219111,862.3729554,4202.120489,2547.3795,2251.382812,42.98150178,2819.129312,3933.89096,6352.47412,3094.039424,7121.688466,2760.360968,1949.997777,510.7427044,5928.085663,1903.331261,190.8551624,4164.335979,0,116.1094055,170.6041865,1369.556436,3725.348339,3103.02377,4313.416872,1494.289392
7.68_424.2343n,HMDB0015631,*,"M+Hac-H, M+Cl, M-H",C25H32N2O4,38.9,4.75,-4.462094271,95.003855,100 - 28.3 - 4.68 - 0.569,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0015631,Alvimopan,424.2343145,459.2037158,1,7.680566667,Only identification found,1,38.9,38.9,8275.802012,4595.87471,9759.504395,6079.60357,3699.855587,3638.303411,5342.314479,5999.735847,9259.621195,8662.676613,2812.71424,3396.640112,1937.839987,576.7178216,1794.195443,3793.541632,2529.78146,2732.977073,2071.728449,2537.481998,3207.456089,3679.704607,4245.893231,4305.498042,3568.855743,5240.553557,3118.198039,2066.238259,5645.982938,2043.351246,3509.744293,2459.434999,2694.526586,2962.968372,2462.535984,2974.533759,2858.908334,3335.186454,2739.292151,2319.105263,5249.367427,5698.222684,5101.196692,5009.342601,8943.646134,14167.68577,4208.580749,6675.96118,3534.436513,3738.929311,5120.306658,2630.645572,3544.167857,2058.26658,1991.333534,2282.404448,2526.038748,2908.818074,5275.784567,2465.977662
4.18_478.0427n,HMDB0249755,*,"M-H2O-H, M-H, M+Hac-H",C19H18N4O5S3,37.1,7.12,-2.488376698,81.54159497,100 - 24.8 - 17.5 - 3.73 - 1.24 - 0.222,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0249755,Cefcanel,478.0427431,459.024902,1,4.18175,Only identification found,1,37.1,37.1,618.9405521,0,0,0,0,35.18840043,0,0,0,0,29.30052185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06561232,0,0,0,0,0,1558.549388,0,0,0,0,0,0,0,0,0
0.89_97.9669n,HMDB0001448,*,"M-H, M+Hac-H, 2M-H",H2O4S,37.7,0.199,-4.962463295,94.16812369,100 - 0.976 - 5.34,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0001448,Sulfate,97.96689338,96.95961695,1,0.893116667,Only identification found,1,37.7,37.7,6779.871726,2454.874064,3970.851426,15488.04649,3344.715672,893.7078409,3724.32616,4582.50897,5003.095419,4547.891428,6379.190442,1218.141166,6259.772995,1425.347521,2702.541666,4043.792791,913.5032177,2716.372476,2238.748324,2145.675211,3671.241632,2839.859685,3236.376899,1021.909042,3770.148495,3188.77365,2402.723314,2357.52374,4099.440497,789.7312818,1814.23556,4315.981703,2758.297915,2534.137242,2420.695556,4991.402532,3636.264172,3602.607361,2582.800004,929.7438374,8003.452332,4245.364531,7930.181803,4627.166216,4469.367838,3902.913509,3457.956834,3409.78417,5013.45719,8709.723304,3522.848311,2324.957886,1088.624522,8446.462907,3476.900648,6040.671916,2501.156266,2470.595055,4121.21957,2778.998319
3.00_204.0898n,Tryptophan,*,"M-H, 2M-H",C11H12N2O2,77.2,94,-0.373728489,97.08897788,100 - 12.8 - 1.17,NA,Tryptophan,204.0898014,203.0825249,1,3.004383333,Maximum score by at least 10 points,11,77.2,42.8,112817.5858,118281.757,122160.448,90056.63293,150060.7503,64063.84506,125774.5638,175549.8094,131357.4331,130896.8112,111587.5626,77914.95052,60319.86718,90127.758,153787.9358,218043.6452,82731.26862,114284.2549,133204.6554,109641.3543,111074.5841,146760.2499,137999.7635,120557.5853,118629.9705,167495.2206,117383.3825,69615.46742,110673.005,105189.9162,111801.0926,139755.238,108076.6955,151317.663,82637.30235,100793.6622,188149.3738,148333.4901,124698.3858,121203.7899,182510.2687,179407.1902,171012.6008,173432.6052,133897.7897,119522.4459,114522.655,92823.78531,123943.8042,137514.1859,82513.1215,118786.9122,79133.29459,122437.9157,80396.0319,106060.122,92354.12461,151932.2445,139001.5137,71610.69992
6.93_510.1910n,HMDB0253852,*,"M-H2O-H, M+Hac-H",C25H34O9S,38.3,0.574,-2.590253064,93.89273353,100 - 28.6 - 10.3 - 2.13 - 0.382,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0253852,"2-[3-Methoxy-2-propoxy-5-[5-(3,4,5-trimethoxyphenyl)oxolan-2-yl]phenyl]sulfonylethanol",510.1910321,511.1910321,1,6.930216667,Only identification found,1,38.3,38.3,93.69942715,1.13231980691782e-05,215.4234726,0.136676687,8.450362721,0,18.60375977,0,23.82661791,0.420250801,0,0,0,0,0,1.996887881,0,77.87864029,6.33208262,0,0,7.85561895,9.476515719,8.88820105,729.1123638,37.29210368,0,0,0,0,34.47647095,68.77931762,0,0,0,0,0,0,0,0,73.63518056,12.24666571,0.043735873,0,82.3684667,58.78295187,9.26650612,14.71433998,337.0071568,8.9820907,0,0,0,0,0,0,0,0,2.011343226,0
8.16_398.1247n,HMDB0255921,*,"M-H, M+Hac-H",C19H19ClN6O2,32.2,0,-2.841391681,64.47761367,100 - 23 - 34.9 - 7.64 - 0.962,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0255921,Darolutamide,398.1246703,397.1173939,1,8.16465,Only identification found,1,32.2,32.2,160.4566292,83.96054077,429.6254578,410.5467232,47.22373867,0,160.5821838,115.6179662,11.01899719,233.9199538,1106.346538,0,112.1132329,0,0,234.8498363,314.7184618,282.9063754,89.63925171,689.042622,590.7965655,283.8468003,15.6854248,89.15297125,0,883.3896436,0,0,1319.492218,0,0,57.93722534,288.6909494,1084.735846,71.18135071,75.88899519,0,118.1893463,0,10.10964966,0,32.38021851,1327.908973,390.2962693,366.7182922,157.2280264,168.5345592,259.5118098,0,0,0,0,38.9289546,84.82551527,21.44042969,117.384201,301.7519851,0,83.25479126,239.172699
8.74_159.1085n,HMDB0040057,*,"2M-H, 2M+Hac-H",C8H17NS,37.7,1.72,2.193740188,89.38136949,100 - 10 - 4.97 - 0.428,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB0040057,(±)-2-Pentylthiazolidine,159.1085196,377.2308902,1,8.736216667,Only identification found,1,37.7,37.7,9086.358067,5263.141923,7911.290735,6930.792823,33179.64711,10018.35008,6115.678246,12040.48928,22550.58169,8274.664069,59792.92358,4736.257781,5540.434055,3157.799282,4372.284588,11340.077,32321.32583,20109.10288,6392.483461,4590.709953,21558.50151,8731.790623,7124.410564,16379.82643,5055.52503,7371.564446,5319.387341,2657.103829,10201.03643,4218.703002,7563.173329,3038.420448,22245.7457,6328.27631,5836.269616,30018.73864,16428.50801,19056.2535,3123.138201,2750.481523,9638.559997,8878.27297,10930.90341,8456.666684,22763.72968,33239.16503,11866.98908,21495.42963,16073.32987,6535.188183,3166.197361,3233.759523,2731.570753,5263.421365,5122.523583,6430.351668,5873.708036,4813.046914,7300.349886,5786.864076
