Compound,Compound_ID,Accepted,Adducts,Formula,Score,Fragmentation_Score,Mass_Error_ppm,Isotope_Similarity,Theoretical_Isotope_Distribution,Link,Description,Neutral_mass_Da,mz,Charge,Retention_time_min,Reason_of_identification,Number_of_identifications,Maximum_score,Second_highest_score,HYG_001,HYG_002,HYG_003,HYG_004,HYG_005,HYG_006,HYG_008,HYG_009,HYG_010,HYG_011,HYG_012,HYG_013,HYG_014,HYG_015,HYG_016,HYG_017,HYG_018,HYG_019,HYG_020,HYG_021,HYG_022,HYG_023,HYG_024,HYG_025,HYG_026,HYG_027,HYG_028,HYG_029,HYG_030,HYG_031,HYG_032,HYG_033,HYG_034,HYG_035,HYG_036,HYG_037,HYG_038,HYG_039,HYG_040,HYG_041,HYG_042,HYG_043,HYG_044,HYG_045,HYG_046,HYG_047,HYG_048,HYG_049,HYG_050,HYG_051,HYG_052,HYG_053,HYG_054,HYG_055,HYG_056,HYG_057,HYG_058,HYG_059,HYG_060,HYG_061
0.64_674.3763n,CSID9716843,*,"M+H, M+NH4, M+K, M+Na",C36H54N2O10,37.7,0,-2.303758019,91.35675235,100 - 40.7 - 10.1 - 1.87 - 0.282,http://nonlinear.com/redirect/outbound?p=chemspider&param=9716843,leucascandrolide A congener,674.3762924,692.4101179,1,0.642566667,Only identification found,1,37.7,37.7,137610.5494,105562.4754,103643.5561,95669.86826,76265.36253,0,88023.48988,36549.73555,101873.5944,101775.0445,74076.59076,57960.2887,95228.65341,80.63661382,64185.25969,94262.01946,127655.3612,29141.28996,133525.6058,104407.8824,68987.83656,86324.5095,71200.34844,129331.6033,71173.66431,133594.612,72967.14654,36084.97423,40528.44288,825.7236416,50849.1804,5633.448257,51428.3153,100552.8337,178265.7758,3154.818238,104471.6248,72368.32567,62283.55037,224.2622414,80719.92654,79143.10933,154773.7313,83121.31796,87932.04373,95221.13888,79160.7855,97686.46285,38371.73038,48101.22917,137061.4455,0,196921.8615,0,4094.831542,2043.279657,256.9223529,72613.17526,65835.89337,988.2099112
0.52_219.1618n,CSID30774160,*,"M+H, M+Na, M+H-H2O",C14H21NO,26.6,6.05,-2.484316105,29.66990201,100 - 15.8 - 1.37,http://nonlinear.com/redirect/outbound?p=chemspider&param=30774160,"4-(tert-Butyl)-3,4,5,6-tetrahydro-1H-benzo[f][1,4]oxazocine",219.1617695,242.1509902,1,0.517033333,Only identification found,1,26.6,26.6,308.3809029,361.9948426,392.3755263,425.034436,347.3861592,0,382.4819979,0,388.4040437,392.0558834,511.4591194,41.40782032,0,0.184617854,351.3296354,353.5192834,322.9007647,225.5076526,310.845146,0,315.8597065,413.4014108,375.5536461,0,65.91774702,238.5595863,354.0946219,0,128.2997136,0,215.0708241,795.8869955,198.764595,214.3745642,37.03377401,0,239.808274,154.8860321,387.6309097,0,391.4922965,287.0804174,281.4008453,380.307489,409.0460447,243.1859618,355.8383823,333.2775159,144.3311252,165.8321549,0,0,85.13616292,0,0,0,0,205.7966641,197.8870085,0
1.47_113.0599n,CSID568,*,"M+H, 2M+H, M+K",C4H7N3O,38,1.06,8.933011285,98.85994931,100 - 5.54 - 0.334,http://nonlinear.com/redirect/outbound?p=chemspider&param=568,Creatinine,113.059922,114.0671984,1,1.4699,Only identification found,1,38,38,205900.4103,159749.7468,167418.4647,270538.0426,165272.2488,0.112971713,166785.6416,126101.688,203386.9227,165142.9345,172689.7097,5016.306661,128017.57,3755.317116,158315.8604,181611.0325,119390.4916,112569.498,144343.1954,79771.68144,158952.66,189983.0839,146562.9951,62619.12268,120262.6786,157569.5341,129981.9716,1981.848882,134254.8674,923.1711025,127347.9484,129676.3249,125075.2589,151104.3326,120787.0842,90284.26053,158975.1483,126363.1605,132396.7898,0.09539275,204961.6132,157608.3896,201108.677,205628.0047,207869.8839,202779.1685,165586.4761,167220.4323,118112.451,129089.4341,134344.021,1601.909455,160908.0538,0,3857.284698,0,116888.0575,141253.8604,136493.7511,0
0.75_594.5602n,CSID55120,*,"M+H-H2O, M+H, M+H-2H2O",C38H74O4,39.3,19.4,2.508333032,80.08866951,100 - 42.1 - 9.46 - 1.5 - 0.186,http://nonlinear.com/redirect/outbound?p=chemspider&param=55120,Glycol distearate,594.5602024,577.5569141,1,0.749066667,Only identification found,1,39.3,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1302.89686,0,0,0,0,0,1.873295409,0,0,0,0,0,0,0,15.47176436,0,92624.17452,0,0,0,0,0,1939.332669,0,0,0,53.22733435,0,0,0,0,0,0,0,0,0,0,0,0,0.061192037,0,0,1590.695351,0,0,0,4629.071261
1.99_191.0229n,CSID68447,*,"M+H-2H2O, M+NH4, M+H-H2O",C9H5NO4,37.8,0,5.54266303,95.4639581,100 - 10.3 - 1.3,http://nonlinear.com/redirect/outbound?p=chemspider&param=68447,6-nitrocoumarin,191.0229168,209.0567423,1,1.989133333,Only identification found,1,37.8,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.63_268.0820n,Inosine,*,"M+Na, M+K, M+H",C10H12N4O5,65.1,72,4.634562664,97.32269476,100 - 12.6 - 1.76 - 0.155,NA,Inosine,268.0820119,291.0712326,1,2.626283333,Maximum score by at least 10 points,8,65.1,44.7,14656.10106,19618.57829,14720.56187,15456.75871,6908.491202,4028.635046,5249.87078,122.436819,1688.924555,13458.69722,3677.48146,0,1940.875424,0,19694.45141,9113.811653,6684.020346,667.1047373,1441.901621,5048.127654,1242.415143,693.3171094,4763.778447,611.2445777,796.2482489,9180.485221,1473.82684,474.350647,7490.768518,688.8997365,3110.344279,2005.812768,659.3300581,1151.576999,1165.774016,724.3921539,1647.274457,496.3454313,5979.715267,0,4589.599361,6729.074579,4245.471469,2954.188691,6125.85693,4804.65037,7436.882969,7861.635295,749.1032771,4920.933362,0,0,1770.981473,193.7814954,4385.128575,42472.39853,0,100.7129401,717.7076583,759.2425565
2.89_582.2510n,CSID34565066,*,"M+H, M+Na, M+K",C31H31FN8O3,38.1,0.223,1.124635986,91.41222452,100 - 36.9 - 7.25 - 0.999 - 0.107,http://nonlinear.com/redirect/outbound?p=chemspider&param=34565066,"(Z)-N-(6-((4-(1,2,4,5-Tetrazin-3-yl)benzyl)amino)-6-oxohexyl)-5-((5-fluoro-2-oxoindolin-3-ylidene)methyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide",582.2509698,583.2582463,1,2.8897,Only identification found,1,38.1,38.1,8.865989541,16.36840341,5.059224436,6.270045392,77.92363397,76.98506135,5.467749551,1.303148632,45.37025716,66.25629543,610.6521865,5404.67436,968.712766,0,17.89863511,39.10415225,90.81282904,28.07125299,2.55502291,94.75268555,8.397162353,8.484263769,5.684216739,3462.28729,1.49639593,0,5.013193581,4602.16483,7.700459739,9963.049191,6.918482015,3.903328619,23.52802495,0,5493.629036,34.14143223,32.72244045,84.23723938,3.803939014,4098.341338,2.423630986,0,3.909287132,6.47893566,801.3531998,116.1821705,28.87473074,6.213027833,36.13227569,38.54944107,0,19497.63888,4101.625766,143.6155922,1.420729582,2001.796963,0.108034283,170.9573982,31.54324359,0
2.90_149.1059n,CSID13835630,*,"M+H-2H2O, M+H, 2M+H",C6H15NO3,38.5,0.584,4.504937211,96.94060095,100 - 7.14 - 0.836,http://nonlinear.com/redirect/outbound?p=chemspider&param=13835630,Triethanolamine,149.1058647,150.1131411,1,2.901116667,Only identification found,1,38.5,38.5,505.4923677,665.5059093,474.9170362,199.7745947,333.2278829,0,342.7872391,25.70260677,623.3241207,773.2076978,970.0371719,0,0,0,699.1564256,852.8975838,0,648.9224051,138.6244603,0,470.9521398,3117.826871,2736.733803,0,518.1434028,303.014418,677.2549902,0,356.7105797,0,122.4544261,2082.543408,0,118.5408864,0,0,599.1919375,120.1478406,636.5018881,0,864.4648849,338.3939121,551.5279282,883.9148569,594.563461,183.1632959,153.1656637,313.1714564,187.2137428,274.3433509,0,6.734392399,0,0,26.59734473,0,0,330.3932354,834.0911544,0
3.09_312.0777n,CSID79536255,*,"M+H, M+Na, M+H-H2O",C16H12F4O2,38.5,0,1.149585609,93.74401465,100 - 17.5 - 1.85 - 0.146,http://nonlinear.com/redirect/outbound?p=chemspider&param=79536255,"4-(1,1,2,2-Tetrafluoroethyl)benzyl benzoate",312.0777018,313.0849782,1,3.0875,Only identification found,1,38.5,38.5,855.1915675,124.1336201,0,0,209.1220957,0,14525.29723,1305.7773,10607.38017,0,553.3569147,0,0,0,316.9081711,61.18660969,145.9682932,237.9906487,6221.957634,1107.497312,0,3496.296014,0,0,0,0,113.4450364,0,0,0,9.868231776,977.7600648,224.7411619,5480.655515,0,9601.075973,0,373.0783925,630.7371251,0,11.06104545,0,41.77915801,0,30840.62234,125.4915544,15533.13255,69.49880881,71.951593,19.84441794,1811.810759,0,0,0,782.826487,0,0,5326.077916,0,822.5730361
3.13_303.1227n,CSID28533316,*,"M+H, M+Na, M+H-H2O",C15H17N3O4,40.7,8.58,2.70173569,98.06946482,100 - 17.7 - 2.29 - 0.222,http://nonlinear.com/redirect/outbound?p=chemspider&param=28533316,N-(indol-3-ylacetyl)glutamine,303.122725,304.1300014,1,3.133133333,Only identification found,1,40.7,40.7,0,0,0,0,9.450861986,0,0,0,0,0,243.7479387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1397788,0,18.51018323,80.46418633,22.56059265,0,0,0,0,0,0,0,0.044728767,0,0,0,0,0,0,0
