"Precursor.Id","Protein.Group","Genes","Proteotypic","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Frac2_PEP0001_2","SYN0100","GENE0100",1,2289965.2,2661760.2,1040562.5,1296848,1738707.2,1795654.5,NA,1593577.9,3234880.8,2273410.3,1918613.9,2028132.8,1502253.4,1552391.7,3105468,1714103.9,1875827.3,2928250.5,2815435.4,3000158.9,2766836.7,2293569.7,3348242.9,2571956.5,2348106.3,1916790.5,3301675.9,2694063.1,4467638.4,2907584.5
"Frac2_PEP0002_2","SYN0104","GENE0104",1,243151,348372.1,235897.8,493620.2,377356.5,NA,NA,919545.6,NA,NA,252917.9,241613.5,308258.3,394530.1,236182.3,NA,482610.2,635089.4,NA,NA,151067.8,84615.2,160532.7,203094.4,261312.8,NA,377854.8,521686.3,410797.7,NA
"Frac2_PEP0003_2","SYN0051","GENE0051",0,1154777.5,1207512.7,1319693.5,1567317.4,1695801,NA,NA,1289594.1,1011262,1591662.5,1191904.1,1563675.8,849879.1,1098513.5,1189524.6,8251324.4,11041825.2,NA,NA,NA,7262405.5,11602696.7,8919242.4,12270182.8,6425835.5,NA,NA,5798278.6,NA,NA
"Frac2_PEP0004_2","SYN0073","GENE0073",0,17676642,11797509.3,9513306.8,13232832.6,11634624.5,18580218.3,10984435.3,11204168.3,10303607.7,10531336.1,17327778.1,15484432.2,17590768,10889743.6,7480429.4,9725142.5,8147631.3,11517712.2,5254481.2,4020995.7,6447854.5,6342149.2,7391843.6,6185487.5,4316573,9460500.4,7049256.5,5818774.1,5336933,7778379.1
"Frac2_PEP0005_2","SYN0024","GENE0024",0,357057.5,415271,368398.3,350707.6,494771.5,343462.6,337552.4,403792.2,615330.5,411102.8,415672.5,479891.9,300961.2,354014.9,308149.2,448103.8,577397.9,466538.1,428934,468787,343063.4,363594.2,372250.1,NA,777257.5,523573.5,562655.2,455145,240064.7,694970.6
"Frac2_PEP0006_2","SYN0023","GENE0023",0,330870.2,125571.3,201911.9,220394,227494.2,242025,224574.4,183931.3,NA,133572.4,272139.8,244808.4,317938.6,190648.7,176424.9,459844.3,482776.1,334077.9,406884.5,298549.4,529845,545007.7,566656.3,569392,411955.8,371294.6,595970.4,449346,544201.1,352254.7
"Frac2_PEP0007_2","SYN0084","GENE0084",0,203635.6,NA,186432.9,189982.2,175108.6,230007.8,170488.4,83799.8,128987.6,137504.6,156256.7,314325.2,NA,146086.2,239428.3,NA,NA,358522.8,291902.6,NA,421174,298242.3,357069.4,NA,347997.3,440749.5,318345.6,NA,389718.5,NA
"Frac2_PEP0008_2","SYN0060","GENE0060",1,3092640.2,3684112.7,4600658.3,3902948,2929958.1,NA,NA,NA,3226559.3,NA,2898121.5,3131615.6,2577879.8,4984411.1,3266141.2,2576571.4,NA,NA,NA,NA,1873699.5,1292394.8,2106719.8,2946712.9,2652267.2,NA,2544570,NA,NA,NA
"Frac2_PEP0009_2","SYN0081","GENE0081",0,275387.1,426896.8,266248.2,341439.9,323153.6,253251.5,309529.8,327982.2,299211,214368.7,220196,188633.5,462881.6,341542.2,180969,339389.7,419464.2,375715.1,363879.9,520685.8,373596.7,274473,287028.3,330878.1,382754.4,579626,555111.4,NA,360513.7,497001.6
"Frac2_PEP0010_2","SYN0100","GENE0100",1,32681889.4,27366660.8,23807660.6,30767010.2,30746605.8,21149929.8,22332206.1,34116532.1,26989434.3,36955232.7,27913832.4,24379561.9,37410281.3,32727089.5,19671400.9,42217942.3,30107358.9,37874159.2,34258609,31101739.9,24112151.2,41311635.9,43335316.3,43626335.6,42039759.5,32420328.8,44502927.7,33727871.2,31102891.8,36513862.1
"Frac2_PEP0011_2","SYN0075","GENE0075",0,1008116.2,1076791.9,884187.8,1242397.2,1384323.2,NA,NA,NA,1084795,1298532.8,1124746.6,945061.9,937521.5,1937532.9,767605.6,NA,NA,2069069.7,NA,2235771.9,1598109.4,2861083.3,1794099.2,1977822.6,1469367.7,NA,NA,NA,2081753.5,NA
"Frac2_PEP0012_2","SYN0088","GENE0088",0,1091411.9,783328,990674.2,1478919.8,743429.5,1310333.2,996744.3,984208.5,926544.9,989728.3,823074.8,888159.1,687375.3,1041642.3,765236.3,2054226.7,1804349.1,2990376,2474313.6,1776375.3,1409184.5,2680442.4,NA,2383488.8,2209728.3,3019854.8,2371768,2085618,2892978.6,2450147.6
"Frac2_PEP0013_2","SYN0001","GENE0001",0,884283.4,NA,723577.8,985836.1,NA,NA,653753.4,331046.9,NA,361652.2,593764.8,544642.8,710478.3,855032.2,547800.2,251410.3,392050.7,219281.7,343254,NA,NA,NA,450633.7,459466,552628.7,NA,382326.7,240125.3,NA,251751.5
"Frac2_PEP0014_2","SYN0034","GENE0034",1,262312.8,236378.7,308129.6,216506.8,315328.9,NA,NA,NA,NA,NA,284001.5,200212.5,168736,319593.4,NA,NA,102416.5,NA,119181.8,NA,153919,207843.2,200679.4,203569.3,132420,NA,NA,NA,NA,NA
