"Precursor.Id","Protein.Group","Genes","Precursor.Charge","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"Frac3_PEP0001_2","SYN0059","GENE0059",3,1087720.7,1193117.3,1041260.5,715999.5,1419072.2,550695.7,700033,NA,1054013.5,786837.1,1377477.5,1087062.5,1559874.3,1041668.8,1043568.7,211729.9,190360.8,245737.9,172785.7,135689.4,487284.9,368615.7,343574,293497.4,360166.7,290266.9,286841.5,255408.2,204973.2,NA
"Frac3_PEP0002_2","SYN0122","GENE0122",3,267757.9,347243,236602.1,357885,281559.4,NA,NA,NA,NA,NA,405459,206243.6,308747.7,282343.6,286226.1,58029,NA,60374.5,NA,58821.1,115257.5,120801.9,157921.6,92032,156897.8,NA,59347,52098.5,NA,47195.9
"Frac3_PEP0003_2","SYN0097","GENE0097",4,NA,NA,5341398.1,NA,6778495.7,4419548.2,NA,5852451.5,8426991.5,NA,NA,5733090.5,4176831.3,5891684,4224079.4,NA,4060219.6,4409664.4,3758905.6,4400342.3,2871544.5,NA,NA,4100114.5,4975247.3,5502737.1,5190415,4261726.2,5031817.9,NA
"Frac3_PEP0004_2","SYN0040","GENE0040",4,1323565.8,1422608.8,1610595.1,1193000,1120238.1,1847725.7,NA,NA,NA,NA,1270340.9,1479943.1,1880214,877747.9,1729642.9,NA,NA,NA,2101029.2,NA,1506797.3,982474,2064375,1198321.5,2293471.3,2054509.1,NA,2038386.1,NA,NA
"Frac3_PEP0005_2","SYN0063","GENE0063",2,1615451.4,1827117.7,NA,1452106,2038323.3,NA,NA,NA,NA,NA,1442693.5,1595129.2,1952288.2,1349238.5,2478454.8,NA,NA,1984795.1,NA,2248808.4,1534386.8,2745048.6,2075608.3,3047742.3,3351770.5,NA,NA,NA,NA,1821513
"Frac3_PEP0006_2","SYN0052","GENE0052",2,2931349.5,2465984.2,2789130.4,NA,2487625.9,2610752.8,NA,3428235.9,NA,NA,2498671.9,NA,2746529.9,NA,2523872.8,NA,NA,NA,960337.1,560776.5,597252.8,NA,NA,NA,641086.7,NA,521420.4,698438.9,NA,1379697.3
"Frac3_PEP0007_2","SYN0045","GENE0045",3,392283.8,285073.9,430369.6,351678.8,250068,NA,NA,NA,NA,NA,258923.6,362388.4,285012.8,287935.2,314799.9,NA,NA,NA,NA,529441.5,255426.4,249123.1,NA,231298,337416.8,NA,NA,379136.7,524820.4,375259.8
"Frac3_PEP0008_2","SYN0084","GENE0084",2,1212139.9,1016405,1362752.1,1070421.9,1614644.2,1782690.7,1397378.7,1801533.2,2162963.3,2378919.3,1394396.7,1781264.2,1276190.4,1354424.8,1215213.2,345160.8,575851.3,438227,439378.9,503809.6,350229.7,346996.5,319310.1,432962.9,234950,477961.7,460676.5,516654.3,638913.5,456946.5
"Frac3_PEP0009_2","SYN0020","GENE0020",2,1182190.6,1356870.9,1282694.8,1068681,879833.8,2730385.9,2468847.6,2642526.7,2699115,2330774.1,1129329.8,1035240.7,879211.4,1155280.2,480247.8,762820.8,989288.6,917566,972409.3,536837.8,274761.1,422187.4,445971.7,359502.9,453657.8,700040.8,736930.6,640716.9,918702.4,804378.9
"Frac3_PEP0010_2","SYN0087","GENE0087",4,6359604.3,NA,6240351,7661552.2,7698318.4,NA,NA,NA,NA,NA,4541400.8,7859036.9,5142789.2,7104988.1,6195275.9,NA,3189980.1,NA,NA,NA,4007080.4,4987067.6,2161509.7,3896239.1,2065270.9,2717699.4,NA,2718582.3,NA,2480707.6
