"Sample_ID","Sample_group","Sex","Metabolomic_batch","Proteomic_batch"
"S01","A","M","Batch 1","Batch 1"
"S02","A","F","Batch 1","Batch 1"
"S03","A","M","Batch 1","Batch 1"
"S04","A","F","Batch 1","Batch 1"
"S05","A","M","Batch 1","Batch 1"
"S06","B","F","Batch 1","Batch 1"
"S07","B","M","Batch 1","Batch 1"
"S08","B","F","Batch 1","Batch 1"
"S09","B","M","Batch 1","Batch 1"
"S10","B","F","Batch 1","Batch 1"
"S11","A","M","Batch 1","Batch 1"
"S12","A","F","Batch 1","Batch 1"
"S13","A","M","Batch 1","Batch 1"
"S14","A","F","Batch 1","Batch 1"
"S15","A","M","Batch 1","Batch 1"
"S16","B","F","Batch 2","Batch 2"
"S17","B","M","Batch 2","Batch 2"
"S18","B","F","Batch 2","Batch 2"
"S19","B","M","Batch 2","Batch 2"
"S20","B","F","Batch 2","Batch 2"
"S21","A","M","Batch 2","Batch 2"
"S22","A","F","Batch 2","Batch 2"
"S23","A","M","Batch 2","Batch 2"
"S24","A","F","Batch 2","Batch 2"
"S25","A","M","Batch 2","Batch 2"
"S26","B","F","Batch 2","Batch 2"
"S27","B","M","Batch 2","Batch 2"
"S28","B","F","Batch 2","Batch 2"
"S29","B","M","Batch 2","Batch 2"
"S30","B","F","Batch 2","Batch 2"
